vote_share_mean,vote_share_se
0.4875285383435583,0.01293143554468177
0.5253601191176471,0.013901810801853046
0.5049746175792507,0.011771065136321573
0.5464343811170214,0.012122562740231433
0.4875973428571429,0.01202858950211553
0.5381622915343914,0.012207465667960113
0.5345455476683938,0.010864307381477612
0.5739431325459318,0.011775811787983856
0.6272902420792079,0.010839196120031347
0.58274511002445,0.011595954795449214
0.5334073297766749,0.010511686104160837
0.5566128572839506,0.013055744190438881
0.45767985060532684,0.012174784246569603
0.5500266649164678,0.012653782162061582
0.5081854474940335,0.012984873578662466
0.5241225269879518,0.013968524390938847
0.5188309430622009,0.011885660323770366
0.5582346173493976,0.013780133614237793
0.6370366721925135,0.00925271148877028
0.6484992343283581,0.009468885963943657
0.6530929103194104,0.008547961040731192
0.6081769741545894,0.01085191154991464
0.6084124029339854,0.010167492928427758
0.5880130075794621,0.01213050892395918
0.5906396340527578,0.010775413112611515
0.547870213875598,0.011649518444956788
0.603519125120773,0.010656900383547625
0.6012357959232614,0.011411884776484964
0.5675744605326877,0.011499982948909405
0.6034994074766356,0.011065093475924258
0.5726027428571429,0.010755733597999596
0.6392941672209026,0.010587361694999534
0.607434883916084,0.01048038776974004
0.575913268957346,0.009653608622847566
0.6083836176744185,0.008717887940314396
0.5567340626450116,0.010607561058992772
0.5439503125290024,0.010525061273242169
0.5814557261682243,0.010847652003600676
0.5551179699530516,0.010826685481139985
0.61760932304038,0.009823731518785201
0.5940758957446808,0.010229835577335181
0.5669024392771085,0.01124300843182803
0.5365236886746988,0.011044138702304224
0.5762453078947368,0.010409277611248187
0.5456554579326923,0.01153550755040458
0.5717861482100238,0.012140972558862727
0.56618323125,0.012366832350075203
0.5647185906698564,0.011818696586051072
0.5448179037735849,0.008956644981149191
0.4775274061044698,0.011067847378437856
0.5098005449042148,0.009747733894666145
0.4994372122219491,0.013673830237179208
0.5190304123893132,0.012546377190501447
0.49199447501846133,0.013191399318465677
0.5012642418125233,0.01232534721668859
0.5672404763233049,0.011413623217855481
0.5774704612560169,0.011224643322313578
0.47449022761036747,0.009976087153847544
0.5092176700583201,0.01102226085878602
0.4832084428283207,0.012439650687049195
